Логи в терминале сервера:
aizoomdoc-server  | 2026-01-28 16:36:50,339 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/users?select=%2A&static_token=eq.dev-static-token-default-user "HTTP/2 200 OK"
aizoomdoc-server  | 2026-01-28 16:36:50,526 - httpx - INFO - HTTP Request: PATCH https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/users?id=eq.8a71a82f-74b7-4691-9706-35c78e1c2088 "HTTP/2 200 OK"
aizoomdoc-server  | INFO:     172.18.0.1:47436 - "POST /auth/exchange HTTP/1.1" 200 OK
aizoomdoc-server  | 2026-01-28 16:36:50,809 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/users?select=%2A&id=eq.8a71a82f-74b7-4691-9706-35c78e1c2088 "HTTP/2 200 OK"
aizoomdoc-server  | 2026-01-28 16:36:50,910 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/users?select=%2A&id=eq.8a71a82f-74b7-4691-9706-35c78e1c2088 "HTTP/2 200 OK"
aizoomdoc-server  | 2026-01-28 16:36:51,030 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/settings?select=%2A&user_id=eq.default_user "HTTP/2 200 OK"
aizoomdoc-server  | INFO:     172.18.0.1:47436 - "GET /me HTTP/1.1" 200 OK
aizoomdoc-server  | 2026-01-28 16:36:51,309 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/users?select=%2A&id=eq.8a71a82f-74b7-4691-9706-35c78e1c2088 "HTTP/2 200 OK"
aizoomdoc-server  | 2026-01-28 16:36:51,416 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/users?select=%2A&id=eq.8a71a82f-74b7-4691-9706-35c78e1c2088 "HTTP/2 200 OK"
aizoomdoc-server  | 2026-01-28 16:36:51,525 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/settings?select=%2A&user_id=eq.default_user "HTTP/2 200 OK"
aizoomdoc-server  | INFO:     172.18.0.1:47436 - "GET /me HTTP/1.1" 200 OK
aizoomdoc-server  | 2026-01-28 16:36:51,835 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/users?select=%2A&id=eq.8a71a82f-74b7-4691-9706-35c78e1c2088 "HTTP/2 200 OK"
aizoomdoc-server  | 2026-01-28 16:36:51,985 - httpx - INFO - HTTP Request: GET https://dgfoypolporuxqsvqwel.supabase.co/rest/v1/chats?select=%2A&is_archived=eq.False&user_id=eq.default_user&order=updated_at.desc&limit=50 "HTTP/2 200 OK"
aizoomdoc-server  | INFO:     172.18.0.1:47436 - "GET /chats?limit=50 HTTP/1.1" 200 OK
aizoomdoc-server  | 2026-01-28 16:36:55,169 - httpx - INFO - HTTP Request: GET https://zivbesacbxfmwzervmcy.supabase.co/rest/v1/tree_nodes?select=%2A&order=sort_order.asc%2Cname.asc "HTTP/2 200 OK"
